interval_qps l0_files total_mem_size pending_bytes
7.05 6 10.09 68.89
8.13 6 18.58 68.89
8.12 6 27.06 68.76
101.01 7 67.54 68.89
7.34 8 10.19 69.16
8.11 8 18.66 68.86
8.12 8 27.14 68.75
8.13 8 35.63 68.75
138.12 10 49.85 69.11
7.6 10 57.79 68.72
69.17 10 130.03 68.54
6.45 12 6.74 68.99
8.66 12 15.79 68.77
111.5 13 67.22 68.99
6.81 14 9.32 68.97
8.12 14 17.8 68.97
8.12 14 26.28 68.75
99.34 14 130.03 68.52
5.94 16 6.21 69.37
7.97 5 14.53 69.11
9.13 5 24.06 68.89
101.46 5 130.03 68.43
7.0 7 7.31 69.27
7.9 7 15.56 69.07
8.11 7 24.03 68.87
76.0 7 103.4 68.72
31.55 9 6.31 69.43
7.43 9 14.07 69.29
7.63 9 22.04 69.29
8.7 9 31.13 68.96
8.12 9 39.61 68.77
86.58 9 130.03 68.55
6.27 11 6.55 69.01
9.23 11 16.19 68.78
111.18 12 67.28 69.0
6.11 13 8.64 69.43
7.46 13 16.43 68.98
9.27 13 26.12 68.98
26.76 13 54.07 68.51
75.95 15 3.36 69.26
6.5 15 10.15 69.26
7.27 15 17.74 68.87
8.13 15 26.23 68.87
99.39 4 130.03 68.67
6.2 6 6.48 69.2
7.47 6 14.27 69.08
7.5 6 22.11 68.81
7.53 6 29.97 68.81
56.35 6 88.83 68.66
44.28 7 70.06 68.82
6.47 8 11.8 69.26
8.18 8 20.35 69.11
8.1 8 28.81 68.77
8.13 8 37.3 68.77
8.13 8 45.79 68.77
142.92 9 130.03 68.58
5.69 11 5.94 69.49
6.5 11 12.73 69.49
7.91 11 20.99 68.82
7.62 11 28.94 68.82
9.4 11 38.76 68.82
90.34 12 68.1 68.81
6.84 13 10.23 69.09
8.12 13 18.7 68.85
8.13 13 27.2 68.85
98.46 13 130.03 68.61
5.85 15 6.11 69.23
71.75 4 81.04 68.71
49.5 6 2.7 69.34
7.18 6 10.2 69.2
8.11 6 18.67 69.06
8.02 6 27.04 68.76
98.61 6 130.03 68.59
7.68 8 8.03 69.33
7.68 8 16.05 69.17
8.73 8 25.16 68.8
100.41 8 130.03 68.58
6.98 10 7.29 69.11
100.65 10 112.4 68.44
22.5 12 5.95 69.18
8.12 12 14.42 68.94
74.63 12 92.37 68.69
42.11 14 6.31 69.34
8.11 14 14.78 69.09
7.87 14 23.0 68.83
70.27 4 96.39 68.55
37.38 6 5.4 69.44
8.45 6 14.22 68.9
8.13 6 22.71 68.9
103.94 7 66.25 68.89
7.04 8 8.59 69.35
7.1 8 16.0 69.19
6.74 8 23.04 68.78
102.45 8 130.03 68.28
8.07 10 8.43 69.06
116.44 10 130.03 68.55
6.84 12 7.14 69.31
8.11 12 15.62 69.06
8.13 12 24.1 68.79
102.64 13 66.27 68.99
7.15 14 8.73 69.45
7.96 4 17.04 68.9
8.0 4 25.39 68.9
82.76 4 111.83 68.3
22.23 6 5.01 69.09
8.09 6 13.46 68.77
111.62 6 130.03 68.6
6.92 8 7.23 69.39
7.65 8 15.22 69.02
47.68 8 65.01 68.61
61.07 9 63.78 69.12
7.07 10 6.14 68.83
118.62 10 130.03 68.65
7.06 12 7.37 69.47
6.39 12 14.04 69.21
9.12 12 23.57 68.94
7.77 12 31.68 68.94
95.02 13 65.9 69.14
7.77 14 9.0 69.33
7.54 4 16.88 69.03
8.12 4 25.35 68.76
100.23 4 130.03 68.61
6.36 6 6.65 69.25
8.12 6 15.13 69.09
8.1 6 23.59 68.74
22.2 6 46.78 68.55
83.08 8 3.51 69.55
8.08 8 11.95 68.92
115.81 9 67.87 69.15
7.64 10 10.84 69.1
8.47 10 19.69 68.83
106.66 11 66.07 68.76
6.99 12 8.36 69.24
6.27 12 14.91 68.96
111.56 13 66.4 69.16
7.81 4 9.54 69.6
7.83 4 17.71 69.03
8.32 4 26.4 68.74
